id,person_name,gender,age,migration_date,from_city,to_city,reason,distance_km
mig_4980603,Person_843546,Чоловік,41,2025-03-16,Запоріжжя,Львів,Бізнес,844.46
mig_4631867,Person_77182,Жінка,42,2025-01-11,Львів,Харків,Робота,875.45
mig_4675450,Person_219463,Жінка,40,2025-03-05,Суми,Дніпро,Відновлення після війни,272.31
mig_4609924,Person_196207,Жінка,18,2025-01-25,Дніпро,Львів,Навчання,817.27
mig_1890897,Person_988113,Чоловік,27,2025-02-08,Полтава,Суми,Навчання,147.81
mig_8314910,Person_703417,Жінка,46,2025-03-08,Суми,Донецьк,Навчання,388.37
mig_3616639,Person_72497,Чоловік,18,2025-02-23,Полтава,Львів,Сімейні обставини,758.72
mig_3190178,Person_292833,Чоловік,56,2025-03-25,Одеса,Полтава,Робота,447.93
mig_7141543,Person_465753,Чоловік,44,2025-02-15,Суми,Полтава,Сімейні обставини,147.81
mig_2317299,Person_655879,Чоловік,38,2025-03-15,Дніпро,Львів,Особисті причини,817.27
mig_6197454,Person_669990,Чоловік,22,2025-02-08,Київ,Суми,Робота,306.35
mig_6700878,Person_266387,Жінка,18,2025-01-12,Харків,Запоріжжя,Робота,252.6
mig_2054202,Person_149328,Чоловік,39,2025-03-04,Вінниця,Одеса,Покращення житлових умов,349.26
mig_3489015,Person_631769,Жінка,35,2025-03-04,Одеса,Львів,Сімейні обставини,621.95
mig_1258977,Person_714319,Чоловік,39,2025-03-30,Запоріжжя,Львів,Відновлення після війни,844.46
mig_5586813,Person_134360,Жінка,18,2025-01-16,Полтава,Суми,Навчання,147.81
mig_5061484,Person_823784,Чоловік,55,2025-04-01,Одеса,Дніпро,Покращення житлових умов,393.29
mig_4394440,Person_698294,Чоловік,53,2025-02-05,Полтава,Київ,Навчання,304.13
mig_3834055,Person_843716,Жінка,35,2025-01-13,Суми,Київ,Навчання,306.35
mig_4032682,Person_360144,Чоловік,68,2025-04-04,Полтава,Київ,Навчання,304.13
mig_4240347,Person_599329,Чоловік,32,2025-02-24,Донецьк,Суми,Сімейні обставини,388.37
mig_8736489,Person_717282,Жінка,40,2025-04-05,Київ,Вінниця,Бізнес,200.43
mig_8899398,Person_121329,Жінка,57,2025-02-08,Суми,Одеса,Відновлення після війни,576.11
mig_7000555,Person_80057,Чоловік,28,2025-03-03,Львів,Полтава,Робота,758.72
mig_4995948,Person_66844,Жінка,34,2025-01-26,Львів,Вінниця,Особисті причини,328.23
mig_9962592,Person_869238,Чоловік,40,2025-03-14,Львів,Київ,Сімейні обставини,468.95
mig_6946783,Person_40981,Чоловік,37,2025-01-25,Полтава,Харків,Робота,129.02
mig_8189449,Person_26253,Чоловік,26,2025-02-17,Полтава,Запоріжжя,Робота,199.31
mig_9682665,Person_808559,Жінка,53,2025-01-21,Вінниця,Одеса,Відновлення після війни,349.26
